query,difficulty
A0A0B3BJR5,0.47
A0A0B3T5N9,0.43
A0A0B4G4B3,0.44
A0A0B4G600,0.66
A0A0B4S006,0.73
A0A0B5BMP3,0.58
A0A0B5KV19,0.47
A0A0B6RX94,0.52
A0A0B7FBA8,0.72
A0A0B7FNN5,0.5
A0A0B7GZN5,0.62
A0A0B7IL02,0.46
A0A0B8NVI9,0.73
A0A0B8PA67,0.57
A0A0B8Q160,0.73
A0A0B8WWX7,0.62
A0A0B9A442,0.57
A0A0C1NR54,0.69
A0A0C1T9I8,0.76
A0A0C1TSV5,0.58
A0A0C1YCN0,0.54
A0A0C2AFA4,0.76
A0A0C2AL36,0.75
A0A0C2CFT8,0.65
A0A0C2H306,0.69
A0A0C2HEK5,0.54
A0A0C2IPF3,0.59
A0A0C2V6D1,0.52
A0A0C2W2M3,0.62
A0A0C2Z2Y1,0.69
A0A0C3A788,0.46
A0A0C3PPE3,0.49
A0A0C4DSL8,0.63
A0A0C4EK35,0.52
A0A0C4FD63,0.46
A0A0C5CCJ5,0.63
A0A0C5EBR2,0.56
A0A0C5GHJ2,0.55
A0A0C5XN93,0.52
A0A0C6G039,0.61
A0A0C7BC16,0.49
A0A0C7BEH5,0.49
A0A0C7BHP3,0.5
A0A0C7BIF6,0.47
A0A0C7C0M2,0.61
A0A0C7CFD6,0.51
A0A0C7NI84,0.73
A0A0C9LMG3,0.52
A0A0C9RPK9,0.63
A0A0C9T0J9,0.49
A0A0C9VPN9,0.49
A0A0D0DJ59,0.65
A0A0D0LSV3,0.59
A0A0D0Q0E6,0.54
A0A0D0TS53,0.51
A0A0D0V2R6,0.52
A0A0D0W1Q8,0.38
A0A0D0WXN0,0.49
A0A0D0Y6R8,0.44
A0A0D1J6U6,0.77
A0A0D1KA08,0.61
A0A0D1LRL3,0.53
A0A0D2DA95,0.66
A0A0D2DXW7,0.51
A0A0D2GYK0,0.45
A0A0D2HDU6,0.53
A0A0D2HIP0,0.46
A0A0D2PTM2,0.42
A0A0D2WES1,0.55
A0A0D2XFH3,0.47
A0A0D2XLY5,0.36
A0A0D3CPM8,0.66
A0A0D3FX77,0.48
A0A0D3GRG7,0.5
A0A0D4CZT7,0.54
A0A0D5ACC2,0.4
A0A0D5AF55,0.5
A0A0D5LF42,0.49
A0A0D5VG84,0.71
A0A0D5YS17,0.72
A0A0D6KA96,0.71
A0A0D6L1B2,0.56
A0A0D6MD71,0.66
A0A0D6PHA0,0.52
A0A0D6Q9C4,0.54
A0A0D6QP56,0.62
A0A0D6QY32,0.31
A0A0D6TL85,0.54
A0A0D6ZHD2,0.8
A0A0D7NCT7,0.44
A0A0D7XCI6,0.48
A0A0D8BJL3,0.55
A0A0D8BM40,0.69
A0A0D8CI07,0.66
A0A0D8CPU8,0.42
A0A0D8XKC4,0.52
A0A0D9NL28,0.35
A0A0D9P757,0.42
A0A0D9VKJ8,0.44
A0A0E0BGR5,0.55
A0A0E0H6E4,0.5
A0A0E0JJT7,0.67
A0A0E0K325,0.48
A0A0E0RF20,0.56
A0A0E0T5X3,0.54
A0A0E0T6V3,0.64
A0A0E0UC26,0.65
A0A0E1CGI5,0.6
A0A0E1GHW0,0.73
A0A0E1VWT1,0.76
A0A0E1XIL3,0.48
A0A0E2E6H9,0.47
A0A0E2EQQ9,0.63
A0A0E2ZI43,0.25
A0A0E2ZZZ7,0.74
A0A0E3GSS7,0.6
A0A0E3GWQ7,0.55
A0A0E3HK97,0.61
A0A0E3M8M8,0.37
A0A0E3P4Q7,0.49
A0A0E3QB84,0.61
A0A0E3SF54,0.73
A0A0E3T6C4,0.75
A0A0E3VYW8,0.57
A0A0E3WS88,0.53
A0A0E9G5S6,0.72
A0A0F0CIK6,0.78
A0A0F0F1E5,0.47
A0A0F0H1A3,0.74
A0A0F0IPK5,0.39
A0A0F0LQW6,0.55
A0A0F0LSC4,0.49
A0A0F2I3K0,0.49
A0A0F2JD62,0.5
A0A0F2KLD6,0.56
A0A0F2LBM0,0.45
A0A0F2TJC1,0.57
A0A0F2TPP6,0.52
A0A0F3GYV8,0.72
A0A0F3KW76,0.73
A0A0F3QIN2,0.51
A0A0F3QJN7,0.44
A0A0F4GJC9,0.46
A0A0F4I7L1,0.54
A0A0F4NN74,PARSE_ERROR
A0A0F5IP51,0.51
A0A0F5K213,0.52
A0A0F5VZK5,0.55
A0A0F5YI10,0.56
A0A0F5Z2J6,0.73
A0A0F6A5C0,0.77
A0A0F6BI99,0.43
A0A0F6MV37,0.54
A0A0F6ZLA6,0.5
A0A0F6ZLB5,0.51
A0A0F7E696,0.43
A0A0F7FBE8,PARSE_ERROR
A0A0F7FFR9,0.5
A0A0F7PTJ1,0.7
A0A0F7RGY6,0.54
A0A0F8AZW2,0.47
A0A0F8B853,0.4
A0A0F8CSX7,0.56
A0A0F8FUK2,0.49
A0A0F8XR11,0.52
A0A0F8ZD13,0.51
A0A0F8ZG26,0.69
A0A0F9A7W0,0.61
A0A0F9AK50,0.64
A0A0F9B0V8,0.52
A0A0F9DIP7,0.45
A0A0F9EQV0,0.63
A0A0F9GH77,0.65
A0A0F9GND6,0.73
A0A0F9J1S8,0.62
A0A0F9J357,0.58
A0A0F9JIN5,0.68
A0A0F9MAX1,0.5
A0A0F9MZX2,0.68
A0A0F9PS94,0.52
A0A0F9VGA8,0.55
A0A0F9VT11,0.58
A0A0F9WCS6,0.42
A0A0F9WU86,0.61
A0A0G0AD15,0.55
A0A0G0DB63,0.5
A0A0G0H1B0,0.73
A0A0G0INS8,0.49
A0A0G0J498,0.73
A0A0G0K8G2,0.48
A0A0G0KYQ6,0.46
A0A0G0MBP6,0.69
A0A0G0PHQ0,0.59
A0A0G0PK73,0.65
A0A0G0QNG6,0.68
A0A0G0SC84,0.56
A0A0G0SLX8,0.77
A0A0G0TK91,0.74
A0A0G0TXJ2,0.54
A0A0G0UJF6,0.78
A0A0G0V7K5,0.59
A0A0G0V9M3,0.5
A0A0G0W5X4,0.74
A0A0G0WBS3,0.63
A0A0G0WXY0,0.47
A0A0G0XRC6,0.77
A0A0G0ZIB9,0.77
A0A0G1BMK9,0.46
A0A0G1CMI6,0.46
A0A0G1FE27,0.65
A0A0G1FQN3,0.47
A0A0G1GFF0,0.67
A0A0G1J2Y5,0.62
A0A0G1JQM7,0.49
A0A0G1K5W3,0.77
A0A0G1KUI1,0.59
A0A0G1KZ84,0.73
A0A0G1LNI4,0.62
A0A0G1MU82,0.75
A0A0G1NDG3,0.71
A0A0G1NLR6,0.75
A0A0G1PT67,0.47
A0A0G1Q6X8,0.76
A0A0G1SL90,0.64
A0A0G1SP70,0.75
A0A0G1U3M7,0.78
A0A0G1UKN3,0.79
A0A0G1VND4,0.76
A0A0G1VRB0,0.46
A0A0G1VRT6,0.61
A0A0G1W740,0.41
A0A0G1W7K4,0.58
A0A0G1WDE1,0.61
A0A0G1YVC5,0.73
A0A0G1ZQ72,0.59
A0A0G1ZY94,0.54
A0A0G2A9E9,0.39
A0A0G2GR55,0.52
A0A0G2ZXI4,0.73
A0A0G4ARW6,0.66
A0A0G4BXB5,0.58
A0A0G4EX53,0.62
A0A0G4G7V6,0.76
A0A0G4H2R4,0.69
A0A0G4ISF5,0.39
A0A0G4L550,0.58
A0A0G4M6U9,0.42
A0A0G4MUF5,0.53
A0A0G4MV19,0.59
A0A0G4NPQ9,0.44
A0A0G9I731,0.51
A0A0G9KJD1,0.45
A0A0H2LRF8,0.55
A0A0H2WB31,0.54
A0A0H2XTR1,0.5
A0A0H3B4J1,0.4
A0A0H3I7J8,0.52
A0A0H3J4Y2,0.63
A0A0H3K5U8,0.48
A0A0H4ISF3,0.48
A0A0H4KCL2,0.73
A0A0H4KH29,0.5
A0A0H4KYB6,0.76
A0A0H4KYT7,0.57
A0A0H5QBD1,0.59
A0A0H5RUB3,0.58
A0A0H5ZAR3,0.72
A0A0H6GDF2,0.73
A0A0H6H7D6,0.49
A0A0H6HB78,0.61
A0A0H6I3C4,0.65
A0A0H6P768,0.65
A0A0H6PS34,0.51
A0A0H6VMM7,0.55
A0A0H6X4W4,0.6
A0A0I9S9H7,0.52
A0A0J0U962,0.65
A0A0J1DCR6,0.51
A0A0J1IRW4,0.63
A0A0J1J5M5,0.62
A0A0J1KDH6,0.6
A0A0J1NF59,0.43
A0A0J6CJ57,0.67
A0A0J6UKV7,0.65
A0A0J6X052,0.48
A0A0J6XVU5,0.68
A0A0J6YJI9,0.47
A0A0J6YNE2,0.57
A0A0J6YPW1,0.41
A0A0J6YSA4,0.3
A0A0J7XFA1,0.77
A0A0J8J2X0,0.62
A0A0J8UAA0,0.53
A0A0J8UQY0,0.51
A0A0J8UUB5,0.56
A0A0J9C6Y5,0.65
A0A0J9W0W6,0.5
A0A0J9WGS1,0.41
A0A0J9WUF0,0.55
A0A0J9Y5L9,0.33
A0A0K0F042,0.58
A0A0K0K2I8,0.58
A0A0K0MWD4,0.59
A0A0K1E7F8,0.5
A0A0K1JTH6,0.74
A0A0K1NIQ1,0.68
A0A0K1PWF2,0.62
A0A0K2DXD1,0.41
A0A0K2GEY1,0.55
A0A0K2J5W8,0.68
A0A0K2L525,0.73
A0A0K2MCW0,0.61
A0A0K2QZP4,0.59
A0A0K2SZU7,0.37
A0A0K2WA86,0.44
A0A0K2Y6A4,0.65
A0A0K3BRC0,0.58
A0A0K3CJS3,0.51
A0A0K6G0K8,0.5
A0A0K6HE89,0.56
A0A0K8MKU9,0.51
A0A0K8SFP0,0.6
A0A0K8TZ21,0.43
A0A0K9ERD1,0.78
A0A0K9UTU5,0.49
A0A0L0FYJ5,0.43
A0A0L0S799,0.46
A0A0L0SDX5,0.55
A0A0L0SXZ3,0.52
A0A0L0UZ19,0.47
A0A0L1KNE5,0.52
A0A0L1L2T4,0.58
A0A0L6DH79,0.44
A0A0L6HU28,0.72
A0A0L6T3S3,0.73
A0A0L6X2K0,0.52
A0A0L7BVU9,0.7
A0A0L7CSQ0,0.57
A0A0L7P761,0.68
A0A0L8FSI4,0.5
A0A0L8V725,0.53
A0A0L8VBL5,0.7
A0A0L8VJ47,0.46
A0A0M0A8X0,0.52
A0A0M0ACJ1,0.5
A0A0M0BTC7,0.58
A0A0M0EUN8,0.74
A0A0M0F7V1,0.65
A0A0M0GS14,0.55
A0A0M0HQ17,0.51
A0A0M0WBD3,0.69
A0A0M1HSU4,0.56
A0A0M1KHJ5,0.49
A0A0M1UMM9,0.54
A0A0M2GT74,0.58
A0A0M2LSE1,0.66
A0A0M2M3A6,0.53
A0A0M2XM35,0.52
A0A0M3A156,0.51
A0A0M3D8S3,0.74
A0A0M3J4H6,0.7
A0A0M3M6B9,0.54
A0A0M4DM05,0.61
A0A0M4GL07,0.66
A0A0M4LXB9,0.6
A0A0M4MUT1,0.59
A0A0M4NT22,0.43
A0A0M4Q976,0.42
A0A0M4SCY1,0.56
A0A0M7A161,0.47
A0A0M7A8N2,0.73
A0A0M8PGE4,0.68
A0A0M8TWD5,0.67
A0A0M8WTF7,0.48
A0A0M8XWP8,0.73
A0A0M9AIH2,0.36
A0A0M9BQ56,0.64
A0A0M9EIS4,0.62
A0A0M9Z7H9,0.64
A0A0M9ZT87,0.74
A0A0N0ASR6,0.43
A0A0N0BP08,0.51
A0A0N0BPN5,0.62
A0A0N0D3P3,0.57
A0A0N0E893,0.53
A0A0N0L7Y5,0.45
A0A0N0LT50,0.56
A0A0N0M7T5,0.52
A0A0N0MEQ1,0.57
A0A0N0MV77,0.72
A0A0N0UVB9,0.38
A0A0N0Y890,0.52
A0A0N0Z1J6,0.65
A0A0N1AKD8,0.5
A0A0N1EEB0,0.56
A0A0N1L273,0.44
A0A0N4XLX9,0.7
A0A0N5BL92,0.52
A0A0N7I7Z3,0.69
A0A0N7J7Z0,0.46
A0A0N8AIE9,0.4
A0A0N8ALW5,0.72
A0A0N8CHY3,0.61
A0A0N8D1R0,0.56
A0A0N8EN44,0.59
A0A0N8Q4T0,0.57
A0A0N9HUF2,0.4
A0A0N9MWD7,0.68
A0A0P0DAD2,0.64
A0A0P0EIN3,0.47
A0A0P0FL47,0.43
A0A0P0YPU6,0.62
A0A0P1ED54,0.73
A0A0P1GAI9,0.72
A0A0P4ZX97,0.46
A0A0P5E083,0.53
A0A0P5E9B2,0.47
A0A0P5EBM6,0.63
A0A0P5FV23,0.6
A0A0P5JUD4,0.51
A0A0P5L4Q0,0.73
A0A0P5LK40,0.52
A0A0P5LVX0,0.62
A0A0P5N0D6,0.5
A0A0P5N213,0.66
A0A0P5NHP6,0.52
A0A0P5NSA7,0.59
A0A0P5P488,0.6
A0A0P5PJ15,0.62
A0A0P5Q8D0,0.43
A0A0P5QLN8,0.6
A0A0P5TAT6,0.55
A0A0P5TBY6,0.3
A0A0P5TCF9,0.69
A0A0P5TZ76,0.56
A0A0P5UE61,0.57
A0A0P5VJ79,0.41
A0A0P5VZQ3,0.6
A0A0P5W6P0,0.46
A0A0P5X482,0.59
A0A0P5XA39,0.41
A0A0P5XFG5,0.75
A0A0P5XG58,0.7
A0A0P5Y1M6,0.65
A0A0P5YGX2,0.73
A0A0P5YIB6,0.48
A0A0P5YLW7,0.42
A0A0P5YWG6,0.48
A0A0P5Z3S4,0.55
A0A0P5Z4X4,0.51
A0A0P5ZML1,0.65
A0A0P5ZMX8,0.51
A0A0P5ZRS8,0.55
A0A0P5ZUM6,0.57
A0A0P6A6L4,0.71
A0A0P6CGM8,0.67
A0A0P6CIB7,0.51
A0A0P6CSJ4,0.34
A0A0P6DSJ7,0.72
A0A0P6EHK5,0.58
A0A0P6G010,0.53
A0A0P6G5A2,0.45
A0A0P6HMF9,0.62
A0A0P6IHS1,0.52
A0A0P6VH66,0.55
A0A0P6XHB3,0.66
A0A0P6YDA8,0.51
A0A0P7BP56,0.5
A0A0P7C9D1,0.5
A0A0P7HBM1,0.55
A0A0P9F6U4,0.73
A0A0P9FJF9,0.54
A0A0P9HQM4,0.4
A0A0P9JXH2,0.55
A0A0P9KTZ5,0.53
A0A0P9P0I5,0.56
A0A0P9RQ26,0.69
A0A0P9TXM4,0.56
A0A0P9V9W6,0.54
A0A0Q0CP93,0.6
A0A0Q0DNB2,0.53
A0A0Q0RKH4,0.56
A0A0Q0VSC9,0.66
A0A0Q0YV85,0.48
A0A0Q0ZRI6,0.52
A0A0Q3EPU6,0.55
A0A0Q3IM53,0.62
A0A0Q3R5E5,0.47
A0A0Q4EZ20,0.5
A0A0Q4F2J0,0.44
A0A0Q4KKG4,0.59
A0A0Q4MAK4,0.53
A0A0Q4NYF3,0.71
A0A0Q4P428,0.71
A0A0Q4PL70,0.59
A0A0Q4QZS2,0.51
A0A0Q4RBV5,0.53
A0A0Q4RDT8,0.52
A0A0Q4WJM5,0.51
A0A0Q5BXS8,0.51
A0A0Q5I1G2,0.56
A0A0Q5I1J5,0.36
A0A0Q5R9J5,PARSE_ERROR
A0A0Q5VGH0,0.75
A0A0Q6D1C2,0.45
A0A0Q6DW37,0.72
A0A0Q6L6M9,0.76
A0A0Q6TTP0,0.73
A0A0Q6WKP7,0.71
A0A0Q6XX72,0.67
A0A0Q7CZF9,0.63
A0A0Q7DG92,0.75
A0A0Q7G7Q5,0.66
A0A0Q7L328,0.56
A0A0Q7VTT9,0.49
A0A0Q7XKY8,0.71
A0A0Q7Z9N7,0.53
A0A0Q8BHJ4,0.5
A0A0Q8DL36,0.57
A0A0Q8E7Z4,0.53
A0A0Q8FTC6,0.73
A0A0Q8IBL6,0.71
A0A0Q8LCY7,0.52
A0A0Q8MR46,0.73
A0A0Q8Q502,0.7
A0A0Q8SLF0,0.57
A0A0Q8UGD3,PARSE_ERROR
A0A0Q8V709,0.48
A0A0Q8VRC7,0.53
A0A0Q8WGR8,0.41
A0A0Q8XAJ0,0.52
A0A0Q8XD19,0.49
A0A0Q8Y5W3,0.73
A0A0Q8YR49,0.48
A0A0Q9A6U1,0.61
A0A0Q9IZV7,0.35
A0A0Q9JQF6,0.5
A0A0Q9KAT6,0.5
A0A0Q9LPY4,0.7
A0A0Q9RI68,0.57
A0A0Q9Y1Y1,0.59
A0A0R0FW83,0.48
A0A0R0LGC3,0.56
A0A0R0LYW2,0.53
A0A0R1BAG2,0.55
A0A0R1F2W8,0.69
A0A0R1FQM6,0.48
A0A0R1MCE3,0.76
A0A0R1QJZ7,0.7
A0A0R1RGW5,0.51
A0A0R1YPA5,0.58
A0A0R1ZDD8,0.46
A0A0R1ZIM4,0.53
A0A0R2A638,0.72
A0A0R2CX32,0.71
A0A0R2EBF6,0.47
A0A0R2H5R0,0.75
A0A0R2I3Q7,0.61
A0A0R2I5H7,0.46
A0A0R2IC19,0.46
A0A0R2JB42,0.6
A0A0R2PE76,0.66
A0A0R2PSE3,0.66
A0A0R2QCY8,0.66
A0A0R2RF87,0.6
A0A0R2T7Z2,0.72
A0A0R2U2U3,0.78
A0A0R2XE41,0.43
A0A0R3E2F9,0.6
A0A0R3L1X8,0.44
A0A0R3PW98,0.45
A0A0R3VZA4,0.64
A0A0S0ZHD5,0.5
A0A0S2K3C5,0.71
A0A0S2NUA8,0.65
A0A0S3K320,0.54
A0A0S3NTP6,0.6
A0A0S3TJI7,0.54
A0A0S4LIJ5,0.64
A0A0S4M2K3,0.44
A0A0S4PHG7,0.69
A0A0S4PHI5,0.71
A0A0S4PKT6,0.74
A0A0S4QZW4,0.75
A0A0S4RE83,0.51
A0A0S4TDF0,0.38
A0A0S4TKM1,0.42
A0A0S7AGR0,0.51
A0A0S7AMU8,0.66
A0A0S7APP5,0.54
A0A0S7E3Y3,0.5
A0A0S7H9S9,0.64
A0A0S7HA22,0.57
A0A0S7JCH9,0.52
A0A0S7K744,0.4
A0A0S7LXA2,0.55
A0A0S8BWS9,0.77
A0A0S8E2C5,0.68
A0A0S8ETY1,0.42
A0A0S8G973,0.49
A0A0S8HFX5,0.59
A0A0S8ISK0,0.49
A0A0S8J603,0.57
A0A0S8JD39,0.47
A0A0S8JRU6,0.52
A0A0S8K8D0,0.58
A0A0S9KAP3,0.74
A0A0S9NFV5,0.52
A0A0S9Q0I7,0.48
A0A0T1WJ51,0.64
A0A0T2YJ41,0.68
A0A0T5X8X5,0.49
A0A0T5XAV3,0.7
A0A0T5Z7B3,0.51
A0A0T6ADP9,0.75
A0A0T7G0L0,0.7
A0A0T7PIR5,0.57
A0A0T9RMK8,0.48
A0A0T9WHT6,0.53
A0A0U0CM36,0.49
A0A0U0S6E8,0.57
A0A0U0SWG5,0.57
A0A0U0Z9Z9,0.58
A0A0U1KV06,0.63
A0A0U2NWS1,0.65
A0A0U2UBM5,0.58
A0A0U2VTJ1,0.7
A0A0U2WRD7,0.54
A0A0U2ZD87,0.61
A0A0U3AD72,0.75
A0A0U3B336,0.78
A0A0U3G661,0.57
A0A0U3HNT5,0.64
A0A0U3JRX7,0.58
A0A0U3PUM8,0.64
A0A0U4B314,0.63
A0A0U4CHU7,0.7
A0A0U4KYN7,0.56
A0A0U4MTN7,0.44
A0A0U4W7X9,0.54
A0A0U4XS88,0.6
A0A0U5EQ87,0.59
A0A0U5IQC1,0.59
A0A0V0QSN1,0.49
A0A0V0RF99,0.46
A0A0V0SES1,0.33
A0A0V0TDF0,0.53
A0A0V0TTH8,0.28
A0A0V1CAV4,0.58
A0A0V1DDM9,0.48
A0A0V1JJH9,0.55
A0A0V1QT41,0.53
A0A0V8M3Q4,0.8
A0A0V8SCT7,0.38
A0A0V8SQ04,0.53
A0A0W0FAM5,0.55
A0A0W0FXS4,0.47
A0A0W0GAG8,0.47
A0A0W0HBP7,0.54
A0A0W0NPJ0,0.64
A0A0W0R9C8,0.57
A0A0W0W3I3,0.74
A0A0W0WSV5,0.5
A0A0W0YSZ7,0.59
A0A0W0ZB52,0.56
A0A0W0ZTK3,0.8
A0A0W1AME2,0.46
A0A0W1ESQ3,0.53
A0A0W1F1J0,0.62
A0A0W1R5K8,0.45
A0A0W7TVY4,0.55
A0A0W7TY85,0.46
A0A0W7U5U7,0.73
A0A0W7WDT6,0.58
A0A0W8D253,0.48
A0A0W8FM62,0.52
A0A0W8FTN8,0.76
A0A0W8JEG4,0.77
A0A0X1KPF1,0.56
A0A0X2NJH5,0.49
A0A0X3QER3,0.51
A0A0X3VUL7,0.6
A0A0X3X5K7,0.41
A0A0X8C3T5,0.73
A0A0X8F747,0.46
A0A0X8FBD8,0.6
A0A0X8GRS0,0.52
A0A0Y0JXC7,0.56
A0A0Z8LKZ9,0.49
A0A100HMU5,0.61
A0A100IKI1,0.46
A0A100W0V2,0.54
A0A100ZK86,0.69
A0A101DZC7,0.59
A0A101GJ92,0.53
A0A101H4J7,0.41
A0A101I785,0.65
A0A101LAF0,0.47
A0A101N1K9,0.54
A0A101T1X9,0.59
A0A101TAV6,0.47
A0A101W6M2,0.6
A0A103XF97,0.6
A0A103Y377,0.44
A0A104CCR6,0.52
A0A104MPK3,0.55
A0A105M9Q5,0.5
A0A109BV03,0.76
A0A109RE40,0.54
A0A109SXD6,0.75
A0A109UP31,0.76
A0A109W3W0,0.51
A0A117M449,0.59
A0A117SKL3,0.71
A0A117UXB8,0.57
A0A118FTM7,0.64
A0A118XNP9,0.51
A0A120HT35,0.55
A0A120I9D4,0.52
A0A120J0Q7,0.64
A0A124F2N8,0.54
A0A124FD69,0.48
A0A124FKX1,0.57
A0A124FZ10,0.7
A0A124HYS8,0.46
A0A125V8C0,0.75
A0A125YI12,0.34
A0A126JIR9,0.5
A0A126QYN8,0.59
A0A126YBW0,0.63
A0A127CEK1,0.58
